group number,db_create.c,db_utils.c,pictDB.h,pictDBM.c,image_content.h,image_content.c:shrink_value,image_content.c:lazy_resize core,image_content.c:create_resized_img,dedup.h,dedup.c,Makefile,astyle
,2,4,3,11,3,2,3,15,3,8,2,2
team-38credits,2,3.5,3,7.75,2.25,2,3,12.5,2,7,2,2
