group number,db_create.c,db_delete.c,db_insert.c,db_list.c,db_read.c,db_utils.c,dedup.h,dedup.c,image_content.h,image_content.c:lazy_resize,image_content.c:create_resized_img,pictDB.h:structures de données,pictDB.h:fonctions affichage,pictDB.h:fonctions commandes,pictDB.h:Doxygen,pictDBM.c:structures de données,pictDBM.c:commandes simples,pictDBM.c:do_read_cmd,pictDBM.c:do_insert_cmd,pictDBM.c:main(),Makefile,astyle,bonus/malus,Total
,10,7.5,12.5,2.5,9,9.5,3,6,3,4,11.5,7.5,2,8,2,2,6.5,6.5,7.5,2.5,3,2,5,133
team-38credits,9.25,7.5,12.25,2.375,8.25,9.25,3,6,3,4,11.25,7.5,2,8,2,2,6.25,6.5,7,2.5,3,0,0,122.875
